# SNe in Coma
#   Name   appmag   error
2019bkh     15.76   0.17
2020ags     15.60   0.12
2021dch     15.94   0.13
# 2021lxb     15.86   0.28
2022frn     15.76   0.13
2023aakj    15.86   0.15
2023czd     15.54   0.11
2023epj     15.67   0.12
2024ana     15.75   0.17
2021lxb     15.84   0.22
2021oat     15.65   0.14
2010ai      15.73   0.10
2013ag      15.57   0.21
ASASSN-15jt 15.64   0.22
# The equation used is:
#    H0=(76.05 +/- 1.3)* 99.1/D_Coma  where D_Coma is in Mpc
# This comes from the Fundamental Plane
# with the addtional constraint
# mu_coma = 34.98 +/- 0.13 from HST NIR SBF
# We also need an uncertainty on the FP value; for now use 1% (fractional)
