# Radiative transfer modeling-based distances for SNe II
# Souces: V+24 (Vogl+24, 2024arXiv241104968V)
#         Cs+23a (Csoernyei+23, 2023A&A...672A.129C)
#         Cs+23b (Csoernyei+23, 2023A&A...678A..44C)
# Distance uncertainties are purely statistical
# SC note: M51, M61 and N6946 removed - too close for useful vcorr
# No      Host                       SN        D      D_err   z_cmb      v_pec_2M++  z_cosmo   Source
1       2MASXJ10023529-2110531     2003bn    59.14  2.44    0.01393   -90          0.014234  V+24
2       N6956                      2006it    60.37  7.31    0.01449   -127         0.014920  V+24
3       N7483                      2010id    68.29  4.87    0.01523   -180         0.015840  V+24
4       N7610                      2013fs    43.90  3.65    0.01061   -68          0.010839  V+24
5       MCG-01-01-040              2019luo   160.96 13.41   0.03908   -144         0.039579  V+24
6       WISEAJ092426.48+203802.9   2020bad   118.29 9.17    0.02711   +62          0.026898  V+24
7       IC2217                     2020cvy   77.43  10.37   0.01801   -202         0.018696  V+24
8       WISEAJ170435.95+140450.4   2021gvv   151.22 6.72    0.03789   -134         0.038354  V+24
9       CGCG040-036                2021hkf   78.05  6.70    0.02077   +256         0.019899  V+24
10      WISEAJ053038.62-225410.2   2021acvc  119.51 9.76    0.03157   +178         0.030958  V+24
# 11      M61                        2008in    15.06  0.71    0.00638   N/A          N/A       Cs+23a
# 12      M61                        2020jfo   14.95  0.78    0.00638   N/A          N/A       Cs+23a
13      N772                       2003hl    33.95  4.49    0.00732   +80          0.007051  Cs+23a
14      N772                       2003iq    26.02  1.85    0.00732   +80          0.007051  Cs+23a
15      N922                       2002gw    43.46  3.67    0.00960   -67          0.009826  Cs+23a
16      N922                       2008ho    40.02  5.07    0.00960   -67          0.009826  Cs+23a
# 17      N6946                      2004et    5.99   0.36    0.00013   N/A          N/A       Cs+23a
# 18      N6946                      2017eaw   6.44   0.29    0.00013   N/A          N/A       Cs+23a
# 19      M51                        2005cs    7.34   0.39    0.00130   N/A          N/A       Cs+23b
