#   HST Ceph N4258
# Host   mu_host    mu_error  method   anchor   source
# NGC4258-based distances without metallicity correction.
# Based in input from Adam; homogeneized in distance and error.
N4258    29.4       0.025    ceph_hst   N4258   R22
 M101    29.149     0.045   ceph_hst    N4258  R22
M1337    32.940     0.124   ceph_hst    N4258  R22
N0105    34.532     0.250   ceph_hst    N4258  R22
N0691    32.801     0.110   ceph_hst    N4258  R22
N0976    33.693     0.150   ceph_hst    N4258  R22
N1015    32.559     0.075   ceph_hst    N4258  R22
N1309    32.552     0.062   ceph_hst    N4258  R22
N1365    31.449     0.054   ceph_hst    N4258  R22
N1448    31.300     0.041   ceph_hst    N4258  R22
N1559    31.478     0.064   ceph_hst    N4258  R22
N2442    31.444     0.067   ceph_hst    N4258  R22
N2525    32.022     0.101   ceph_hst    N4258  R22
N2608    32.583     0.155   ceph_hst    N4258  R22
N3021    32.444     0.159   ceph_hst    N4258  R22
N3147    32.973     0.164   ceph_hst    N4258  R22
N3254    32.363     0.078   ceph_hst    N4258  R22
N3370    32.142     0.054   ceph_hst    N4258  R22
N3447    31.950     0.039   ceph_hst    N4258  R22
N3583    32.813     0.082   ceph_hst    N4258  R22
N3972    31.619     0.091   ceph_hst    N4258  R22
N3982    31.758     0.073   ceph_hst    N4258  R22
N4038    31.584     0.117   ceph_hst    N4258  R22
N4424    30.822     0.129   ceph_hst    N4258  R22
N4536    30.850     0.054   ceph_hst    N4258  R22
N4639    31.815     0.086   ceph_hst    N4258  R22
N4680    32.595     0.206   ceph_hst    N4258  R22
N5468    33.129     0.076   ceph_hst    N4258  R22
N5584    31.770     0.055   ceph_hst    N4258  R22
N5643    30.512     0.055   ceph_hst    N4258  R22
N5728    33.056     0.206   ceph_hst    N4258  R22
N5861    32.216     0.101   ceph_hst    N4258  R22
N5917    32.408     0.121   ceph_hst    N4258  R22
N7250    31.460     0.135   ceph_hst    N4258  R22
N7329    33.209     0.118   ceph_hst    N4258  R22
N7541    32.515     0.120   ceph_hst    N4258  R22
N7678    33.174     0.154   ceph_hst    N4258  R22
U9391    32.878     0.069   ceph_hst    N4258  R22
# Additional entries from the Tully-Fisher set as provided by Paula.
# Last column is the PGC number.  Repeated entries are commented out.
# The provenance of new Cephei distances is actually unclear, so we
# label them as B25 for now.
#       N4258   29.400    0.025  ceph_hst     N4258       R22     39600
        N4258   29.400    0.025  ceph_hst     N4258       B25     39600
          N55   26.394    0.031  ceph_hst     N4258       B25      1014
         N247   27.607    0.037  ceph_hst     N4258       B25      2758
         N300   26.289    0.070  ceph_hst     N4258       B25      3238
          M33   24.606    0.046  ceph_hst     N4258       B25      5818
#       N0691   32.830    0.109  ceph_hst     N4258       B25      6793
         N925   29.779    0.040  ceph_hst     N4258       B25      9332
#       N1365   31.378    0.056  ceph_hst     N4258       B25     13179
        N1425   31.669    0.050  ceph_hst     N4258       B25     13602
#       N1448   31.287    0.037  ceph_hst     N4258       B25     13727
#       N1559   31.491    0.061  ceph_hst     N4258       B25     14814
        N2090   30.319    0.040  ceph_hst     N4258       B25     17819
        N2403   27.509    0.100  ceph_hst     N4258       B25     21396
#       N2525   32.051    0.099  ceph_hst     N4258       B25     22721
        N2541   30.219    0.050  ceph_hst     N4258       B25     23110
#       N2608   32.612    0.154  ceph_hst     N4258       B25     24111
        N2841   30.709    0.230  ceph_hst     N4258       B25     26512
#       N3021   32.464    0.158  ceph_hst     N4258       B25     28357
          M81   27.769    0.080  ceph_hst     N4258       B25     28630
        N3109   25.533    0.022  ceph_hst     N4258       B25     29128
        N3198   30.669    0.080  ceph_hst     N4258       B25     30197
#       N3254   32.331    0.076  ceph_hst     N4258       B25     30895
        N3319   30.589    0.090  ceph_hst     N4258       B25     31671
        N3368   30.079    0.060  ceph_hst     N4258       B25     32192
#       N3370   32.120    0.051  ceph_hst     N4258       B25     32207
        N3621   29.079    0.060  ceph_hst     N4258       B25     34554
        N3627   29.979    0.080  ceph_hst     N4258       B25     34695
#       N3972   31.635    0.089  ceph_hst     N4258       B25     37466
#       N4258   29.363    0.057  ceph_hst     N4258       B25     39600
#       N4414   31.209    0.050  ceph_hst     N4258       B25     40692 Excluded; reportedly from R22, but not in that paper
#       N4424   30.844    0.128  ceph_hst     N4258       B25     40809
        N4535   30.849    0.050  ceph_hst     N4258       B25     41812
#       N4536   30.835    0.050  ceph_hst     N4258       B25     41823
#       N4639   31.812    0.084  ceph_hst     N4258       B25     42741
        N4725   30.429    0.060  ceph_hst     N4258       B25     43451
       P43690   32.920    0.123  ceph_hst     N4258       B25     43690
        N5253   27.459    0.140  ceph_hst     N4258       B25     48334
#       N5584   31.772    0.052  ceph_hst     N4258       B25     51344
#       N5728   33.094    0.205  ceph_hst     N4258       B25     52521
#       N5861   32.223    0.099  ceph_hst     N4258       B25     54097
#       N7250   31.628    0.125  ceph_hst     N4258       B25     68535
        N7331   30.809    0.090  ceph_hst     N4258       B25     69327
#       N7541   32.500    0.119  ceph_hst     N4258       B25     70795
        N7793   27.619    0.040  ceph_hst     N4258       B25     73049
#
# Additional entries from the SN2 empirical calibration
# Temporarily assigned to N4258 as anchor.
N4151 +31.04   0.07   ceph_hst   N4258   R22
#
#   HST Ceph LMC
# Host   mu_host    mu_error  method  anchor source  
LMC      18.479     0.012    ceph_hst   LMC   R22
 M101    29.080     0.045   ceph_hst    LMC    R22
M1337    32.871     0.124   ceph_hst    LMC    R22
N0105    34.463     0.250   ceph_hst    LMC    R22
N0691    32.733     0.110   ceph_hst    LMC    R22
N0976    33.624     0.150   ceph_hst    LMC    R22
N1015    32.490     0.075   ceph_hst    LMC    R22
N1309    32.483     0.062   ceph_hst    LMC    R22
N1365    31.380     0.054   ceph_hst    LMC    R22
N1448    31.231     0.041   ceph_hst    LMC    R22
N1559    31.409     0.064   ceph_hst    LMC    R22
N2442    31.376     0.067   ceph_hst    LMC    R22
N2525    31.954     0.101   ceph_hst    LMC    R22
N2608    32.515     0.155   ceph_hst    LMC    R22
N3021    32.375     0.159   ceph_hst    LMC    R22
N3147    32.905     0.164   ceph_hst    LMC    R22
N3254    32.295     0.078   ceph_hst    LMC    R22
N3370    32.073     0.054   ceph_hst    LMC    R22
N3447    31.881     0.039   ceph_hst    LMC    R22
N3583    32.744     0.082   ceph_hst    LMC    R22
N3972    31.551     0.091   ceph_hst    LMC    R22
N3982    31.689     0.073   ceph_hst    LMC    R22
N4038    31.516     0.117   ceph_hst    LMC    R22
N4424    30.753     0.129   ceph_hst    LMC    R22
N4536    30.781     0.054   ceph_hst    LMC    R22
N4639    31.746     0.086   ceph_hst    LMC    R22
N4680    32.527     0.206   ceph_hst    LMC    R22
N5468    33.061     0.076   ceph_hst    LMC    R22
N5584    31.701     0.055   ceph_hst    LMC    R22
N5643    30.443     0.055   ceph_hst    LMC    R22
N5728    32.987     0.206   ceph_hst    LMC    R22
N5861    32.147     0.101   ceph_hst    LMC    R22
N5917    32.339     0.121   ceph_hst    LMC    R22
N7250    31.392     0.135   ceph_hst    LMC    R22
N7329    33.141     0.118   ceph_hst    LMC    R22
N7541    32.446     0.120   ceph_hst    LMC    R22
N7678    33.105     0.154   ceph_hst    LMC    R22
U9391    32.809     0.069   ceph_hst    LMC    R22
#
#   HST Ceph MW
# Host   mu_host    mu_error  method    anchor  source  
MW       10.00      0.001       ceph_hst   MW   R22
 M101    29.204     0.045   ceph_hst    MW     R22
M1337    32.995     0.124   ceph_hst    MW     R22
N0105    34.587     0.250   ceph_hst    MW     R22
N0691    32.856     0.110   ceph_hst    MW     R22
N0976    33.748     0.150   ceph_hst    MW     R22
N1015    32.614     0.075   ceph_hst    MW     R22
N1309    32.607     0.062   ceph_hst    MW     R22
N1365    31.504     0.054   ceph_hst    MW     R22
N1448    31.354     0.041   ceph_hst    MW     R22
N1559    31.533     0.064   ceph_hst    MW     R22
N2442    31.499     0.067   ceph_hst    MW     R22
N2525    32.077     0.101   ceph_hst    MW     R22
N2608    32.638     0.155   ceph_hst    MW     R22
N3021    32.498     0.159   ceph_hst    MW     R22
N3147    33.028     0.164   ceph_hst    MW     R22
N3254    32.418     0.078   ceph_hst    MW     R22
N3370    32.197     0.054   ceph_hst    MW     R22
N3447    32.005     0.039   ceph_hst    MW     R22
N3583    32.868     0.082   ceph_hst    MW     R22
N3972    31.674     0.091   ceph_hst    MW     R22
N3982    31.812     0.073   ceph_hst    MW     R22
N4038    31.639     0.117   ceph_hst    MW     R22
N4424    30.877     0.129   ceph_hst    MW     R22
N4536    30.905     0.054   ceph_hst    MW     R22
N4639    31.870     0.086   ceph_hst    MW     R22
N4680    32.650     0.206   ceph_hst    MW     R22
N5468    33.184     0.076   ceph_hst    MW     R22
N5584    31.825     0.055   ceph_hst    MW     R22
N5643    30.567     0.055   ceph_hst    MW     R22
N5728    33.111     0.206   ceph_hst    MW     R22
N5861    32.271     0.101   ceph_hst    MW     R22
N5917    32.463     0.121   ceph_hst    MW     R22
N7250    31.515     0.135   ceph_hst    MW     R22
N7329    33.264     0.118   ceph_hst    MW     R22
N7541    32.569     0.120   ceph_hst    MW     R22
N7678    33.229     0.154   ceph_hst    MW     R22
U9391    32.933     0.069   ceph_hst    MW     R22

# HST Ceph SMC; not in the baseline.  Provided by Louise Breuval via
# email July 3, 2025
# Host   mu_host    mu_error  method   anchor   source
SMC 	18.533 	0.012 	ceph_hst 	SMC 	R22 
N7250 	31.670 	0.128 	ceph_hst 	SMC 	R22 
N4536 	30.876 	0.056 	ceph_hst 	SMC 	R22 
N3972 	31.674 	0.093 	ceph_hst 	SMC 	R22 
N4424 	30.883 	0.131 	ceph_hst 	SMC 	R22 
N4639 	31.853 	0.087 	ceph_hst 	SMC 	R22 
N4038 	31.642 	0.119 	ceph_hst 	SMC 	R22 
M101 	29.216 	0.050 	ceph_hst 	SMC 	R22 
N2442 	31.490 	0.069 	ceph_hst 	SMC 	R22 
N1365 	31.457 	0.056 	ceph_hst 	SMC 	R22 
N5643 	30.584 	0.059 	ceph_hst 	SMC 	R22 
N5584 	31.819 	0.057 	ceph_hst 	SMC 	R22 
N1559 	31.530 	0.066 	ceph_hst 	SMC 	R22 
N5468 	33.157 	0.078 	ceph_hst 	SMC 	R22 
N1448 	31.328 	0.044 	ceph_hst 	SMC 	R22 
N2525 	32.090 	0.102 	ceph_hst 	SMC 	R22 
N3370 	32.161 	0.057 	ceph_hst 	SMC 	R22 
N5861 	32.263 	0.102 	ceph_hst 	SMC 	R22 
N3147 	33.051 	0.168 	ceph_hst 	SMC 	R22 
N3021 	32.502 	0.161 	ceph_hst 	SMC 	R22 
N1309 	32.582 	0.064 	ceph_hst 	SMC 	R22 
N3982 	31.764 	0.076 	ceph_hst 	SMC 	R22 
N1015 	32.603 	0.078 	ceph_hst 	SMC 	R22 
N3447 	31.976 	0.042 	ceph_hst 	SMC 	R22 
N5917 	32.406 	0.122 	ceph_hst 	SMC 	R22 
U9391 	32.890 	0.071 	ceph_hst 	SMC 	R22 
N3583 	32.844 	0.083 	ceph_hst 	SMC 	R22 
N2608 	32.650 	0.156 	ceph_hst 	SMC 	R22 
N7541 	32.541 	0.121 	ceph_hst 	SMC 	R22 
N0691 	32.868 	0.112 	ceph_hst 	SMC 	R22 
N3254 	32.373 	0.080 	ceph_hst 	SMC 	R22 
N5728 	33.131 	0.207 	ceph_hst 	SMC 	R22 
N7678 	33.226 	0.156 	ceph_hst 	SMC 	R22 
M1337 	32.961 	0.124 	ceph_hst 	SMC 	R22 
N4680 	32.639 	0.206 	ceph_hst 	SMC 	R22 
N7329 	33.283 	0.120 	ceph_hst 	SMC 	R22 
N0976 	33.748 	0.152 	ceph_hst 	SMC 	R22 
N0105 	34.567 	0.251 	ceph_hst 	SMC 	R22 
#
# JWST Ceph CCHP  commented out because not in F25
Host mu_host mu_error  method    anchor  source 
N4258  29.4    0.087   ceph_jwst   N4258   CCHP
#M101   29.14   0.08    ceph_jwst   N4258   CCHP
#N1365  31.26   0.1     ceph_jwst   N4258   CCHP
#N2442  31.47   0.09    ceph_jwst   N4258   CCHP
#N3972  31.67   0.1     ceph_jwst   N4258   CCHP
#N4038  31.7    0.12    ceph_jwst   N4258   CCHP
#N4424  30.91   0.22    ceph_jwst   N4258   CCHP
#N4536  30.95   0.12    ceph_jwst   N4258   CCHP
#N4639  31.8    0.12    ceph_jwst   N4258   CCHP
#N5643  30.51   0.08    ceph_jwst   N4258   CCHP
#N7250  31.41   0.12    ceph_jwst   N4258   CCHP
#
# JWST Ceph SH0ES
#Host  mu_host  mu_error  method    anchor  source  
N4258  29.4     0.03    ceph_jwst   N4258   SH0ES
M101   29.12    0.03    ceph_jwst   N4258   SH0ES
N1448  31.289   0.03    ceph_jwst   N4258   SH0ES
N1559  31.371   0.03    ceph_jwst   N4258   SH0ES
N3447  31.95    0.03    ceph_jwst   N4258   SH0ES
N4038  31.67    0.03    ceph_jwst   N4258   SH0ES
N5468  32.975   0.03    ceph_jwst   N4258   SH0ES
N5584  31.838   0.03    ceph_jwst   N4258   SH0ES
N5643  30.52    0.03    ceph_jwst   N4258   SH0ES
#
# JWST TRGB CCHP
# Host   mu_host mu_error   method   anchor  source
N4258   29.4    0.035   trgb_jwst   N4258   CCHP
M101    29.151   0.042    trgb_jwst   N4258   CCHP
N1365   31.366   0.069    trgb_jwst   N4258   CCHP
N2442   31.646   0.097    trgb_jwst   N4258   CCHP
N3972   31.747   0.068    trgb_jwst   N4258   CCHP
N4038   31.645   0.078    trgb_jwst   N4258   CCHP
N4424   30.926   0.03    trgb_jwst   N4258   CCHP
N4536   30.923   0.052    trgb_jwst   N4258   CCHP
N4639   31.774   0.073    trgb_jwst   N4258   CCHP
N5643   30.643   0.071    trgb_jwst   N4258   CCHP
N7250   31.629   0.047    trgb_jwst   N4258   CCHP
#
# JWST TRGB SH0ES
# Host   mu_host mu_error  method    anchor  source  
N4258   29.4    0.05    trgb_jwst   N4258   SH0ES
N1448   31.38   0.07    trgb_jwst   N4258   SH0ES
N1559   31.5    0.05    trgb_jwst   N4258   SH0ES
N2525   31.81   0.08    trgb_jwst   N4258   SH0ES
N3447   31.92   0.09    trgb_jwst   N4258   SH0ES
N5584   31.81   0.09    trgb_jwst   N4258   SH0ES
N5643   30.58   0.06    trgb_jwst   N4258   SH0ES
N3370   32.19   0.08    trgb_jwst   N4258   SH0ES
N5861   32.10   0.11    trgb_jwst   N4258   SH0ES
# N1380   31.397  0.072   trgb_jwst   N4258  SH0ES
#
#      <  HST TRGB   > a la 2408.06153
# Host   mu_host    mu_error  method    anchor  source    
N4258   29.4      0.04    trgb_hst   N4258   CCHP
M101    29.078    0.04    trgb_hst   N4258   CCHP
N1309   32.499    0.07    trgb_hst   N4258   CCHP
N1316   31.460    0.04    trgb_hst   N4258   CCHP
N1365   31.360    0.05    trgb_hst   N4258   CCHP
# N1404   31.360    0.06    trgb_hst   N4258   CCHP
N1448   31.320    0.06    trgb_hst   N4258   CCHP
N3021   32.221    0.05    trgb_hst   N4258   CCHP
M96     30.313    0.04    trgb_hst   N4258   CCHP
N3370   32.273    0.05    trgb_hst   N4258   CCHP
M66     30.221    0.04    trgb_hst   N4258   CCHP
N4038   31.681    0.05    trgb_hst   N4258   CCHP
N4424   31.000    0.06    trgb_hst   N4258   CCHP
N4526   30.998    0.07    trgb_hst   N4258   CCHP
N4536   30.964    0.05    trgb_hst   N4258   CCHP
N5584   31.822    0.10    trgb_hst   N4258   CCHP
N5643   30.475    0.08    trgb_hst   N4258   CCHP
#
#
#      <  HST TRGB   > Various
#Host  mu_host  mu_error  method    anchor  source  
N4258   29.4    0.04     trgb_hst   N4258   Ex
N7814   30.860  0.07     trgb_hst   N4258   Ex

# The above should be listed as ML method, not Sobel
# per slack message by Dorota Skowron 20250327
N4639   31.79   0.09     trgb_hst   N4258   Ex ;Jang program Sean proc
N3982   31.50   0.13     trgb_hst   N4258   Ex ;Jang program Sean proc
N4414   31.24   0.09     trgb_hst   N4258   Ex ;Jang program Sean proc
N4457   31.05   0.10     trgb_hst   N4258   Ex ;Jang program Sean proc
N4666   30.90   0.05     trgb_hst   N4258   Ex ;Jang program Sean proc
#
# Calibrators for SNe II from Thomas de Jaeger
N4258    +29.40   0.06   trgb_hst   N4258   A22
N6946     29.21   0.08   trgb_hst   N4258   A22
N5194     29.61   0.03   trgb_hst   N4258   A22
N7793     27.75   0.06   trgb_hst   N4258   A22
N0628     29.90   0.12   trgb_hst   N4258   A22
#

# JWST JAGB CCHP    a la 2408.06153
#Host  mu_host mu_error  method    anchor  source  
N4258  29.4    0.05    jagb_jwst   N4258   CCHP
M101   29.208   0.045    jagb_jwst   N4258   CCHP
N1365  31.384   0.039    jagb_jwst   N4258   CCHP
N2442  31.605   0.044    jagb_jwst   N4258   CCHP
N4536  30.971   0.034    jagb_jwst   N4258   CCHP
N4639  31.733   0.039    jagb_jwst   N4258   CCHP
N5643  30.582   0.038    jagb_jwst   N4258   CCHP
N7250  31.592   0.043    jagb_jwst   N4258   CCHP

#
#  JWST JAGB SH0ES
#Host   mu_host mu_error  method    anchor  source  
N4258   29.4    0.05    jagb_jwst   N4258   SH0ES
N1448   31.29   0.04    jagb_jwst   N4258   SH0ES
N1559   31.39   0.04    jagb_jwst   N4258   SH0ES
