# No   Host     SN        m0_Bi    sigma 
1      M101    2011fe     9.780    0.115 
2     M1337    2006D     13.655    0.106 
3     N0105    2007A     15.250    0.133 
4     N0691    2005W     13.602    0.139 
5     N0976    1999dq    14.250    0.103 
6     N1015    2009ig    13.350    0.094 
7     N1309    2002fk    13.209    0.082 
8     N1365    2012fr    11.900    0.092 
9     N1448    2001el    12.254    0.136 
10    N1448    2021pit   11.752    0.200 
11    N1559    2005df    12.141    0.086 
12    N2442    2015F     12.234    0.082 
13    N2525    2018gv    12.728    0.074 
14    N2608    2001bg    13.443    0.166 
15    N3021    1995al    13.114    0.116 
16    N3147    2021hpr   13.843    0.159 
17    N3147    1997bq    13.821    0.141 
18    N3147    2008fv    13.936    0.200 
19    N3254    2019np    13.201    0.074 
20    N3370    1994ae    12.937    0.082 
21    N3447    2012ht    12.736    0.089 
22    N3583  ASASSN-15so 13.509    0.093 
23    N3972    2011by    12.548    0.094 
24    N3982    1998aq    12.252    0.078 
25    N4038    2007sr    12.409    0.106 
26    N4424    2012cg    11.487    0.192 
27    N4536    1981B     11.551    0.133 
28    N4639    1990N     12.454    0.124 
29    N4680    1997bp    13.173    0.205 
30    N5468    1999cp    13.880    0.080 
31    N5468    2002cr    13.993    0.072 
32    N5584    2007af    12.804    0.079 
33    N5643    2013aa    11.252    0.079 
34    N5643    2017cbv   11.208    0.074 
35    N5728    2009Y     13.514    0.115 
36    N5861    2017erp   12.945    0.107 
37    N5917    2005cf    13.079    0.095 
38    N7250    2013dy    12.283    0.178 
39    N7329    2006bh    14.030    0.079 
40    N7541    1998dh    13.418    0.128 
41    N7678    2002dp    14.090    0.093 
42    U9391    2003du    13.525    0.084 
43    N1404    2011iv    11.970    0.10
44    N1404    2007on    12.460    0.19
45    N7814    2021rhu   11.92     0.15
46    N1316    1980N     12.00     0.15
47    N1316    1981D     11.61     0.23
48    N1316    2006dd    11.94     0.11 
49      M96    1998bu    11.00     0.15 	
50      M66    1989B     10.98     0.15 
51    N4526    1994D     11.532    0.14 	
52    N1380    1992A     12.095    0.135	
53    N4666  ASASSN-14lp 11.585    0.13 
54    N4414    2021J     12.04     0.14 
55    N4457    2020nvb   11.85     0.14 
