 #   gal     SN           Jmax                eJmax                  mu      emu            Hmax               eHmax               
 1  N1448   SN2001el   12.82061466321086   0.01482448603582998    31.2868 0.036655	 13.07857057783122  0.03039449492125249   
 2  N1309   SN2002fk   13.747480702498441  0.009403566970633118   32.5413 0.059392	 13.956911872504923 0.008357581724390063  
 3  UGC9391 SN2003du   14.301311473512888  0.11740200778721664    32.8480 0.066699	 14.628402413608272 0.05368419633585966   
 4  N5917   SN2005cf   13.76985528418653   0.030460029232331043   32.3632 0.120179	 13.871457180567383 0.043133837175225495  
 5  N1559   SN2005df   12.87475894272135   0.012888613072004142   31.4913 0.061350	 13.12045982365536  0.022267257562219187  
 6  Mrk1337 SN2006D    14.326115070030193  0.009632182759681895   32.9196 0.122652	 14.609815352217677 0.08130232833466394   
 7  N7329   SN2006bh   14.811802270845314  0.007262074776538977   33.2461 0.117066	 15.013976661293523 0.012659621189311415  
 8  N0105   SN2007A    15.684794503510057  0.0030760165116251225  34.5268 0.249844	                NaN                  NaN  
 9  N5584   SN2007af   13.485724328260265  0.005571136803019049   31.7717 0.051896	 13.63407354511848  0.008613088504288935  
10  N3147   SN2008fv   14.51881481492286   0.2506159856955894     33.0142 0.165364	                NaN                  NaN  
11  N5728   SN2009Y    14.473226735900974  0.00805349941785294    33.0939 0.205070	                NaN                  NaN  
12  N3972   SN2011by   13.182221310107046  0.04417247235319073    31.6346 0.088905	 13.407623084443314 0.022990620978515255  
13  M101    SN2011fe   10.440861017185018  0.022786408867408407   29.1781 0.041368	 10.722553157801347 0.013194267229594804  
14  N4424   SN2012cg   12.280260639698952  0.023690442741640005   30.8444 0.128268	 12.487698733672161 0.06597181694385419   
15  N1365   SN2012fr   12.731026070525653  0.01959302435734603    31.3780 0.055824	 12.953693246909042 0.019664801078770017  
16  N3447   SN2012ht   13.436561975279787  0.012198548281324372   31.9356 0.034456	 13.593352876656896 0.015000945166498202  
17  N7250   SN2013dy   12.781687139727389  0.044271018216718895   31.6279 0.124651	 12.983485753712867 0.09465957287412838   
18  N2442   SN2015F    13.156672356899987  0.06250305446314404    31.4499 0.064283	 13.358790282318214 0.038262835095108715  
19  N5643   SN2017cbv  11.78562175796012   0.014156324278150093   30.5465 0.052175	 11.967849292502134 0.001448967477998927
