#No   Host     SN        m0_Bi    sigma 
1    M101       2011fe  29.054444  0.099908
2     M66   SN1989B  30.138476  0.103999
3     M96  SN1998bu  29.972601  0.092736
4   M1337        2006D  32.796951  0.094316
5   N0105        2007A  34.214789  0.098565
6   N0691        2005W  32.775489  0.110481
7   N0976       1999dq  33.488401  0.139526
8   N1015       2009ig  32.898931  0.096452
9   N1309       2002fk  32.433702  0.096707
10  N1316   SN1980N  31.406000  0.101242
11  N1316  SN2006dd  31.247000  0.093941
12  N1316   SN1981D  31.133000  0.109481
13  N1365       2012fr  31.364985  0.093490
14  N1404  SN2007on  31.706000  0.090824
15  N1404  SN2011iv  31.056000  0.091548
16  N1448      2021pit  31.437583  0.155154
17  N1448       2001el  31.328646  0.096948
18  N1559       2005df  31.535873  0.258246
19  N2442        2015F  31.458779  0.095630
20  N2525       2018gv  32.305144  0.099621
21  N2608       2001bg  32.789806  0.109323
22  N3021       1995al  32.234163  0.109013
23  N3147       2008fv  33.181335  0.107065
24  N3147       1997bq  33.148137  0.110272
25  N3147      2021hpr  33.845992  0.106107
26  N3254       2019np  32.400157  0.104225
27  N3370       1994ae  32.018784  0.107821
28  N3447       2012ht  32.046920  0.095414
29  N3583  ASASSN-15so  33.004085  0.119029
30  N3972       2011by  31.788584  0.097288
31  N3982       1998aq  31.615741  0.102816
32  N4038       2007sr  31.620966  0.098310
33  N4424       2012cg  31.148060  0.099539
34  N4526   SN1994D  30.777770  0.091756
35  N4536        1981B  30.892792  0.105032
36  N4639        1990N  31.803408  0.106862
37  N4680       1997bp  32.523985  0.104127
38  N5468       1999cp  33.162912  0.100988
39  N5468       2002cr  33.110894  0.107526
40  N5584       2007af  31.938433  0.096521
41  N5643       2013aa  30.487201  0.102002
42  N5643      2017cbv  30.731541  0.097405
43  N5728        2009Y  32.944532  0.095495
44  N5861      2017erp  32.235511  0.100269
45  N5917       2005cf  32.554216  0.098498
46  N7250       2013dy  31.312806  0.096923
47  N7329       2006bh  33.319289  0.094256
48  N7541       1998dh  32.624462  0.107084
49  N7678       2002dp  33.272389  0.114808
50  U9391       2003du  32.851569  0.096179

