# SN       GALAXY                   Jmax                 eJmax                  zhel        zcmb       ezcmb       zcorr        Hmax                 eHmax                 
PTF10bjs   MCG+09-21-083            17.013345361598326   0.026713919469254013   0.030014    0.03055    0.0000060   0.03122   	17.15872557909142    0.07152077635645847   
PTF10mwb   LEDA5068087              16.95055668508       0.018565668917772095   0.031360    0.0312368  0.0000600   0.0313755 	17.375494333504854   0.2758290525386636    
PTF10ufj   Anon.                    19.223850435112325   0.08351953072678515    0.077000    0.0761996  0.0050000   0.0766807 	19.242270533136118   0.058238036028141975  
SN1999ee   IC5179                   14.723499439616749   0.012328303674087228   0.011148    0.0102771  0.0000100   0.01074   	14.993249172515917   0.01191325304604388   
SN1999ek   UGC03329                 15.752079717241948   0.011399604509119445   0.017522    0.0176096  0.0000100   0.01758   	15.991101592355674   0.031657837180023456  
SN2004eo   NGC6928                  15.476101171645341   0.0004243502369038684  0.01517     0.0144946  0.0000020   0.01491   	15.653047864596141   0.029431233379332834  
SN2004ey   UGC11816                 15.448786508485739   0.004341639236542263   0.015834    0.0146688  0.0000020   0.01526   	NaN                    NaN                 
SN2005M    NGC2930                  16.494285727615626   0.033178351286298376   0.02484     0.0258381  0.0000470   0.02609   	16.770644644352274   0.029019662735807583  
SN2005el   NGC1819                  15.447983286909343   0.008930126042441082   0.01484     0.0148189  0.0000170   0.01501   	15.671750552372929   0.012194395723777328  
SN2005eq   MCG-01-9-6               16.780131475638573   0.022634221764573532   0.02892     0.0283343  0.0000100   0.0285    	17.155286745232644   0.005806595431482913  
SN2005hc   MCG+00-6-3               17.94023194868094    0.000280661799209198   0.04592     0.0449552  0.0000110   0.04576   	NaN                    NaN                 
SN2005iq   MCG-03-1-8               17.241001543973887   0.06068462412976768    0.03404     0.0329197  0.0001230   0.03361   	NaN                    NaN                 
SN2005kc   NGC7311                  15.417523730442028   0.012456400265950652   0.01509     0.0138552  0.0000020   0.01467   	15.599627033526483   0.01932934489563897   
SN2005ki   NGC3332                  16.098136866546174   0.01792439630968281    0.01946     0.0206554  0.0000080   0.02055   	16.238874695686928   0.025260236412384993  
SN2006ax   NGC3663                  15.702850512565846   0.01316055777050031    0.0165      0.0177424  0.0000190   0.01771   	15.930927418364838   0.009853144563670365  
SN2006et   NGC0232                  16.1534445245264     0.0288144645810482     0.0224      0.0216434  0.0001500   0.02204   	16.344511034512163   0.02700535874807544   
SN2006hx   Anon.                    17.760932165193744   0.036782970705213094   0.04539     0.0442877  0.0000110   0.04466   	NaN                    NaN                 
SN2006kf   UGC2829                  16.2694383756167     0.028233980290098357   0.02004     0.0195452  0.0001800   0.0195    	NaN                    NaN                 
