#name	m_b	err_m_b	zhel	zcmb	vp	vp_2mpp_sdss_6df	vp_2mrs	vp_2mpp
1998bu	  30.034	 0.12421	0.002894	0.004059	0	157	78	226
1999ee	  33.175	 0.12423	0.011148	0.010277	0	-147	-163	-205
1999ek	  34.196	 0.12561	0.017522	 0.01761	0	22	19	53
2000bh	  34.889	 0.12703	0.023046	0.024212	0	0	127	-35
2000ca	  34.987	 0.12406	0.023616	0.024541	0	175	314	180
2001ba	  35.668	 0.12484	0.029517	0.030658	0	118	200	108
2001bt	  33.787	 0.12463	0.014917	0.014725	0	6	30	-73
2001cn	  33.933	 0.12819	0.015154	0.015087	0	-45	-77	-123
2001cz	  33.959	 0.12652	0.015447	 0.01642	0	-115	-23	-192
2001el	  31.306	 0.12381	0.003876	0.003659	0	-66	-88	-133
2002dj	  32.943	 0.12699	 0.00937	0.010426	0	280	309	339
2003du	  32.838	  0.1245	0.006377	0.006644	0	-259	-283	-290
2003hv	  31.192	 0.12289	  0.0055	0.004984	0	-189	-155	-280
2004S	   33.22	 0.12804	0.009298	  0.0098	0	-212	-120	-297
2004ef	   35.45	 0.12515	0.031011	0.029782	0	-85	-193	-80
2004eo	  33.937	 0.12336	0.015464	0.014495	0	-192	-234	-240
2004ey	  34.088	 0.12236	0.015834	0.014669	0	-176	-228	-215
2004gs	  35.354	 0.12486	0.027399	0.028295	0	-94	-151	-109
2005cf	   32.31	 0.12554	 0.00643	0.007013	0	-41	-32	-71
2005el	  33.813	 0.12155	 0.01483	0.014819	0	-41	17	-40
2005iq	  35.886	 0.12505	0.034043	 0.03292	0	-141	-140	-187
2005kc	   33.73	 0.12408	 0.01509	0.013855	0	-162	-221	-193
2005ki	  34.507	 0.12221	0.019458	0.020655	0	81	114	102
2005lu	  35.654	 0.14089	0.032189	0.031479	0	-57	-75	-81
2005na	   35.26	 0.13322	0.026322	0.026849	0	-27	-100	-18
2006D	  32.859	 0.12582	 0.00853	0.009656	0	108	186	119
2006N	  33.782	 0.12987	0.014277	 0.01427	0	-182	-95	-180
2006ac	  35.074	 0.12827	0.023094	0.023953	0	-135	-273	-171
2006ax	  34.304	 0.12294	0.016495	0.017742	0	65	152	60
2006bh	   33.26	 0.12316	0.010767	0.010417	0	31	41	-15
2006cp	  34.933	  0.1317	0.022289	0.023338	0	305	-60	455
2006ej	  34.646	  0.1311	 0.02038	 0.01926	0	-297	-254	-390
2006kf	  34.599	 0.12397	0.020037	0.019545	0	41	54	68
2006lf	  33.424	 0.12255	0.013189	0.012956	0	164	223	247
2007A	  34.196	 0.12413	0.017646	0.016461	0	-85	-83	-88
2007af	  31.924	 0.12323	0.005524	0.006353	0	16	26	6
