#name	m_b	err_m_b	zhel	zcmb	vp	vp_2mpp_sdss_6df	vp_2mrs	vp_2mpp
2009cz	  15.605	 0.18768	 0.02227	 0.02315	  -82.89	     -33	     -38	     -16
2009cz	  15.605	 0.12276	 0.02227	 0.02315	  -82.89	     -33	     -38	     -16
ASASSN-15nr	   15.58	 0.19081	  0.0232	 0.02309	 -101.96	    -112	     -99	    -135
2004bk	  15.586	 0.16008	 0.02306	 0.02405	  155.85	     138	      -4	     115
2007qe	  15.788	 0.14543	 0.02396	  0.0228	 -227.14	    -220	    -238	    -245
2007qe	  15.698	 0.18375	 0.02396	  0.0228	 -227.14	    -220	    -238	    -245
ATLAS17bas	  15.319	 0.19111	 0.02222	 0.02331	 -76.111	    -100	     -64	    -117
ASASSN-15tz	  15.701	 0.19793	 0.02286	  0.0222	 -424.05	    -434	    -491	    -492
2010ao	   15.69	 0.15848	 0.02324	 0.02422	  155.85	     138	      -4	     115
2006sr	  15.742	 0.12761	 0.02425	 0.02307	 -237.71	    -233	    -252	    -263
2000ca	  15.646	 0.13953	 0.02361	 0.02454	  185.44	     175	     314	     180
PS1-14xw	  15.852	 0.28872	 0.02427	 0.02436	  74.493	      74	     130	      91
2000bh	  15.625	 0.16155	 0.02304	 0.02421	  25.488	       0	     127	     -35
2007F	  15.689	 0.14687	 0.02362	  0.0242	   9.672	      13	      34	      50
2007F	  15.831	 0.12926	 0.02362	  0.0242	   9.672	      13	      34	      50
2006ac	  15.734	 0.13765	 0.02309	 0.02395	 -107.47	    -135	    -273	    -171
2006ac	    15.7	  0.1475	 0.02309	 0.02395	 -107.47	    -135	    -273	    -171
ASASSN-15sf	  15.979	 0.16642	 0.02468	 0.02349	 -241.91	    -245	    -284	    -292
2005bg	  15.757	  0.1563	 0.02303	 0.02414	 -59.059	     -96	    -330	    -158
2009D	  15.755	 0.14864	  0.0251	 0.02476	  65.341	      76	      94	      88
2009D	  15.822	 0.11575	  0.0251	 0.02476	  65.341	      76	      94	      88
2009D	  15.696	  0.1206	  0.0251	 0.02476	  65.341	      76	      94	      88
PS16ccn	  15.925	 0.13457	 0.02431	 0.02395	 -183.01	    -191	    -189	    -221
ASASSN-16hz	  15.558	 0.23191	 0.02531	 0.02406	 -175.76	    -172	    -207	    -206
2003he	  15.833	 0.17121	 0.02526	 0.02404	 -252.99	    -256	    -288	    -308
2001cj	  15.944	 0.16935	 0.02409	 0.02491	 -9.2981	     -28	    -214	      -3
Gaia16agf	  15.962	 0.19568	 0.02507	 0.02553	  130.45	     134	     198	     151
2007cq	  15.584	 0.14589	 0.02604	 0.02481	 -83.967	     -72	    -109	     -78
2007cq	  15.595	 0.12675	 0.02604	 0.02481	 -83.967	     -72	    -109	     -78
2003it	  15.826	 0.20754	 0.02528	 0.02413	 -284.92	    -283	    -290	    -322
