#name	z_corr	m0_i	em0_i
SN2004er 0.013791 16.997 0.336
SN2004fb 0.02082 18.106 0.341
SN2005J 0.014822 17.146 0.333
SN2005K 0.028364 18.778 0.342
SN2005Z 0.019483 17.796 0.321
SN2005an 0.011808 16.792 0.367
SN2005dk 0.015752 17.048 0.333
SN2005dt 0.025068 18.159 0.363
SN2005dw 0.01711 17.484 0.345
SN2005dx 0.025613 18.763 0.357
SN2005dz 0.018648 17.918 0.332
SN2006Y 0.032615 18.912 0.315
SN2006ai 0.015458 17.008 0.332
SN2006ee 0.014186 16.470 0.364
SN2006iw 0.030277 18.756 0.329
SN2006ms 0.014092 17.323 0.376
SN2006qr 0.015912 17.603 0.348
SN2007P 0.041692 19.141 0.323
SN2007U 0.025125 18.075 0.317
SN2007W 0.010115 16.599 0.379
SN2007hm 0.024153 18.936 0.320
SN2007il 0.02171 17.891 0.323
SN2007ld 0.024528 18.295 0.334
SN2007sq 0.01654 17.862 0.329
SN2008W 0.020509 17.840 0.326
SN2008ag 0.015236 16.581 0.339
SN2008bh 0.015964 17.793 0.334
SN2008br 0.011667 16.329 0.410
SN2008bu 0.021884 18.592 0.337
SN2008ga 0.015122 17.147 0.357
SN2008gi 0.024295 17.730 0.325
SN2008gr 0.022376 17.906 0.320
SN2008hg 0.018772 17.907 0.362
SN2008if 0.012851 16.868 0.339
SN2009ao 0.012478 16.391 0.347
SN2009bu 0.011811 16.905 0.348
SN2009bz 0.011427 16.837 0.354
8321 0.1065 21.841 0.339
SN06gq 0.069087 20.155 0.354
SN06kn 0.118972 21.429 0.396
SN06kv 0.062237 19.985 0.416
SN07kw 0.067468 19.991 0.349
SN07ky 0.073106 20.465 0.355
SN07kz 0.127045 21.712 0.372
SN07lb 0.039331 19.033 0.314
SN07lj 0.048797 19.709 0.414
SN07lx 0.056285 19.954 0.360
SN07nr 0.138909 21.883 0.405
SN07nw 0.055711 20.591 0.407
SN07ny 0.141938 22.213 0.399
04D1pj 0.155197 22.763 0.326
04D4fu 0.131908 22.551 0.330
05D4dn 0.189911 23.423 0.462
06D1jx 0.134193 22.332 0.339
sn2001fa 0.016547 17.492 0.352
sn2003hf 0.031859 18.191 0.365
sn2005dq 0.021643 18.216 0.370
sn2006ee 0.014186 17.057 0.389
sn2006ek 0.020093 18.386 0.372
sn2008ea 0.013012 16.608 0.369
sn2008ex 0.012944 17.090 0.383
sn2010id 0.01585 18.052 0.396
sn2011ef 0.012249 16.796 0.374
sn2012ck 0.04138 19.097 0.328
sn2013fp 0.012136 16.183 0.686
sn2013gd 0.01276 16.361 0.415
sn2014ce 0.010177 16.972 0.401
sn2015O 0.05562 19.759 0.468
sn2015X 0.011199 17.138 0.402
sn2016adg 0.0133 17.323 0.363
sn2016fqr 0.010086 16.916 0.426
sn2017faf 0.029616 18.266 0.325
sn2017iit 0.016087 16.988 0.370
DES13X3fca 0.095092 21.547 0.355
DES14C3aol 0.076409 20.425 0.433
DES14C3rhw 0.341197 24.746 0.395
DES15C2eaz 0.061152 20.202 0.367
DES15C2npz 0.122134 22.002 0.357
DES15E1iuh 0.104463 21.763 0.331
DES15S2eaq 0.067155 20.156 0.488
DES15X2mku 0.080685 21.237 0.406
DES16C2cbv 0.108729 21.737 0.315
DES16S1gn 0.189894 22.755 0.332
DES16X2bkr 0.157681 22.407 0.358
DES17S1bxt 0.354986 25.408 0.457
DES17X1aow 0.13786 21.445 0.419
DES17X1axb 0.137668 22.342 0.363
DES17X3dub 0.121001 22.584 0.380
SN2016jhj 0.3411 24.208 0.326
