#   Name      PCG #        mu       mu_err     M         m        sigma      v_cmb        v_2mpp    v_2mrs   v_2mpp_6df_sdss
    U12889         2     34.1907    0.2161  -22.3006   11.8900    0.2158     4723.02      4799      4846      4817
       P12        12     35.0389    0.3008  -21.4489   13.5900    0.3006     6188.99      6425      6393      6374
       P16        16     34.6721    0.3573  -20.6821   13.9900    0.3572     5307.29      5440      5411      5416
    U12898        55     34.4316    0.5169  -18.2316   16.2000    0.5168     4450.44      4368      4439      4430
       P68        68     34.5120    0.4354  -19.4820   15.0300    0.4352     7331.47      7511      7458      7467
    U12900        70     35.2060    0.2822  -21.6660   13.5400    0.2820     6440.45      6741      6714      6703
    U12901        76     34.8113    0.2896  -21.5813   13.2300    0.2895     6576.90      6828      6847      6800
    U12905        94     34.2062    0.5081  -18.3662   15.8400    0.5080     3993.98      4347      4334      4313
      P102       102     34.4890    0.2828  -21.6590   12.8300    0.2827     4722.03      4902      4757      4894
    U12913       124     34.8074    0.4279  -19.5974   15.2100    0.4277     5982.26      6293      6242      6238
    U12916       146     34.3268    0.4761  -18.8568   15.4700    0.4760     5997.71      6294      6264      6258
      P155       155     34.1269    0.4598  -19.1069   15.0200    0.4597     7574.38      7795      7817      7769
    U12920       165     34.7914    0.4016  -20.0014   14.7900    0.4015     7272.64      7602      7569      7562
      P176       176     34.8790    0.2828  -21.6590   13.2200    0.2827     6103.33      6339      6312      6290
      P179       179     34.0041    0.3897  -20.1841   13.8200    0.3896     5170.00      5449      5331      5395
    U00003       186     35.2556    0.2368  -22.1256   13.1300    0.2366     7531.77      7803      7804      7769
    U00004       201     35.1702    0.3250  -21.1402   14.0300    0.3248     8258.74      8445      8449      8422
    U00005       205     34.6927    0.2447  -22.0527   12.6400    0.2445     6902.56      7233      7195      7178
      P212       212     35.7461    0.1599  -22.6661   13.0800    0.1596    10860.60     10923     10949     10933
    U00014       250     34.2393    0.3088  -21.3493   12.8900    0.3087     6910.45      7179      7168      7149
      P259       259     34.6648    0.4072  -19.9148   14.7500    0.4071     6043.74      6407      6348      6354
      P293       293     35.2324    0.2921  -21.5524   13.6800    0.2919     6949.43      7157      7122      7109
    U00024       298     33.4530    0.4698  -18.9530   14.5000    0.4697     4099.86      4077      4111      4112
     N7819       303     33.5169    0.3779  -20.3669   13.1500    0.3777     4640.55      4821      4676      4813
      P312       312     33.3046    0.3598  -20.6446   12.6600    0.3596     3457.07      3568      3570      3550
      P329       329     34.0622    0.3866  -20.2322   13.8300    0.3865     6815.96      7148      7121      7093
