#name	m_b	err_m_b	zhel	zcmb	vp	vp_2mpp_sdss_6df	vp_2mrs	vp_2mpp
2009cz	  15.537	  0.1228	  0.0223	  0.0232	  -82.89	-33	-38	-16
2009cz	  15.564	  0.1228	  0.0223	  0.0232	  -82.89	-33	-38	-16
ASASSN-15nr	  15.578	  0.1908	  0.0232	  0.0231	 -101.96	-112	-99	-135
2004bk	  15.518	  0.1601	  0.0231	   0.024	  155.85	138	-4	115
2007qe	   15.72	  0.1454	   0.024	  0.0228	 -227.14	-220	-238	-245
2007qe	  15.694	  0.1837	   0.024	  0.0228	 -227.14	-220	-238	-245
ASASSN-15tz	   15.63	  0.1979	  0.0229	  0.0222	 -424.05	-434	-491	-492
2010ao	  15.643	  0.1585	  0.0232	  0.0242	  155.85	138	-4	115
2006sr	  15.724	  0.1276	  0.0243	  0.0231	 -237.71	-233	-252	-263
2000ca	  15.627	  0.1395	  0.0236	  0.0245	  185.44	175	314	180
PS1-14xw	  15.784	  0.2887	  0.0243	  0.0244	  74.493	74	130	91
2000bh	  15.586	  0.1615	   0.023	  0.0242	  25.488	0	127	-35
2007F	  15.655	  0.1469	  0.0236	  0.0242	   9.672	13	34	50
2007F	  15.785	  0.1293	  0.0236	  0.0242	   9.672	13	34	50
2006ac	  15.666	  0.1376	  0.0231	  0.0239	 -107.47	-135	-273	-171
2006ac	  15.636	  0.1475	  0.0231	  0.0239	 -107.47	-135	-273	-171
ASASSN-15sf	  15.976	  0.1664	  0.0247	  0.0235	 -241.91	-245	-284	-292
2005bg	  15.721	  0.1563	   0.023	  0.0241	 -59.059	-96	-330	-158
2009D	  15.688	  0.1486	  0.0251	  0.0248	  65.341	76	94	88
2009D	  15.766	  0.1158	  0.0251	  0.0248	  65.341	76	94	88
2009D	   15.63	  0.1206	  0.0251	  0.0248	  65.341	76	94	88
PS16ccn	  15.855	  0.1346	  0.0243	  0.0239	 -183.01	-191	-189	-221
ASASSN-16hz	  15.501	  0.2319	  0.0253	  0.0241	 -175.76	-172	-207	-206
2003he	  15.765	  0.1712	  0.0253	   0.024	 -252.99	-256	-288	-308
2001cj	  15.876	  0.1694	  0.0241	  0.0249	 -9.2981	-28	-214	-3
Gaia16agf	  15.939	  0.1957	  0.0251	  0.0255	  130.45	134	198	151
2007cq	  15.516	  0.1459	   0.026	  0.0248	 -83.967	-72	-109	-78
2007cq	   15.53	  0.1268	   0.026	  0.0248	 -83.967	-72	-109	-78
2003it	  15.771	  0.2075	  0.0253	  0.0241	 -284.92	-283	-290	-322
2007cq	  15.688	  0.1284	   0.026	  0.0248	 -83.967	-72	-109	-78
2011dn	  15.137	  0.2432	  0.0253	  0.0244	 -205.82	-218	-294	-281
2007sw	  15.657	  0.2192	  0.0243	   0.025	 -50.839	-27	-48	1
2012bh	  15.915	  0.1694	  0.0243	   0.025	 -50.839	-27	-48	1
2002bf	    15.6	  0.1977	  0.0244	  0.0249	 -91.716	-93	-112	-75
PS15ahs	  15.933	  0.1312	  0.0255	  0.0252	 -36.772	-28	8	-2
PSNJ0153424	   15.87	  0.1671	  0.0256	  0.0247	 -237.62	-233	-254	-255
SN2017hn	  15.791	  0.1354	  0.0238	  0.0249	 -189.32	-235	-177	-348
SN2017ms	  15.886	  0.1419	  0.0245	  0.0254	 -156.12	-175	-154	-199
2005M	  15.972	  0.1268	  0.0248	  0.0258	 -42.118	-55	-74	-56
2005M	  15.836	  0.1414	  0.0248	  0.0258	 -42.118	-55	-74	-56
2005M	  15.581	  0.2487	  0.0248	  0.0258	 -42.118	-55	-74	-56
