#No  Host           SN    m0_Bi  sigma
1    M101       2011fe   9.7574  0.115
2   M1337        2006D  13.5615  0.106
3     M66        1989B  10.9422  0.150
4     M96       1998bu  10.9928  0.150
5   N0105        2007A  15.2227  0.133
6   N0691        2005W  13.5148  0.139
7   N0976       1999dq  14.1887  0.103
8   N1015       2009ig  13.2887  0.094
9   N1309       2002fk  13.1898  0.082
10  N1316        1980N  11.9336  0.150
11  N1316        1981D  11.5687  0.230
12  N1316       2006dd  11.9022  0.110
13  N1365       2012fr  11.9357  0.092
14  N1380        1992A  12.0781  0.135
15  N1404       2007on  12.2915  0.190
16  N1404       2011iv  11.9150  0.100
17  N1448       2001el  12.0747  0.136
18  N1448      2021pit  11.6839  0.200
19  N1559       2005df  12.1100  0.086
20  N2442        2015F  12.1601  0.082
21  N2525       2018gv  12.7619  0.074
22  N2608       2001bg  13.3224  0.166
23  N3021       1995al  13.0713  0.116
24  N3147       1997bq  13.7420  0.141
25  N3147      2021hpr  13.7749  0.159
26  N3147       2008fv  13.9107  0.200
27  N3254       2019np  13.1911  0.074
28  N3370       1994ae  12.9393  0.082
29  N3447       2012ht  12.6711  0.089
30  N3583  ASASSN-15so  13.4639  0.093
31  N3972       2011by  12.4741  0.094
32  N3982       1998aq  12.2584  0.078
33  N4038       2007sr  12.3344  0.106
34  N4414        2021J  12.0019  0.140
35  N4424       2012cg  11.4334  0.192
36  N4457      2020nvb  11.7819  0.140
37  N4526        1994D  11.5347  0.140
38  N4536        1981B  11.5187  0.133
39  N4639        1990N  12.3962  0.124
40  N4666  ASASSN-14lp  11.5169  0.130
41  N4680       1997bp  13.1297  0.205
42  N5468       1999cp  13.8769  0.080
43  N5468       2002cr  13.9313  0.072
44  N5584       2007af  12.6860  0.079
45  N5643       2013aa  11.2225  0.079
46  N5643      2017cbv  11.1661  0.074
47  N5728        2009Y  13.4495  0.115
48  N5861      2017erp  12.8944  0.107
49  N5917       2005cf  13.0132  0.095
50  N7250       2013dy  12.2593  0.178
51  N7329       2006bh  13.9868  0.079
52  N7541       1998dh  13.3858  0.128
53  N7678       2002dp  14.0298  0.093
54  N7814      2021rhu  11.8819  0.150
55  U9391       2003du  13.5115  0.084
