#  Host          M110     sigma     m110      sigma
 IC2006        -2.808     0.046    28.650     0.021
  N1344        -2.944     0.049    28.460     0.019
  N1374        -2.898     0.048    28.580     0.025
  N1375        -3.178     0.059    28.260     0.021
  N1380        -2.792     0.046    28.600     0.022
  N1399        -2.643     0.047    28.840     0.023
  N1404        -2.713     0.046    28.730     0.024
  N4458        -3.041     0.052    28.050     0.023
  N4472        -2.606     0.048    28.430     0.021
  N4489        -3.084     0.054    27.870     0.019
  N4552        -2.669     0.047    28.310     0.022
  N4636        -2.700     0.046    28.360     0.021
  N4649        -2.526     0.050    28.520     0.021
  N4697        -2.814     0.046    27.520     0.021
