#    Name          M110    e(M110)        m110     e(m110)        vgrp      2m++
   IC_2597       -2.641     0.097        31.044     0.031         4099.     4227.
  NGC_0057       -2.363     0.103        31.723     0.053         5278.     5485.
  NGC_0315       -2.522     0.088        31.650     0.027         4819.     4938.
  NGC_0383       -2.616     0.097        31.481     0.037         4900.     5087.
  NGC_0410       -2.587     0.092        31.371     0.034         4900.     5086.
  NGC_0495       -2.694     0.133        31.306     0.030         4626.     4547.
  NGC_0507       -2.584     0.078        31.298     0.032         4626.     4548.
  NGC_0524       -2.569     0.085        29.703     0.043         2166.     2229.
  NGC_0533       -2.630     0.078        31.693     0.029         5073.     5177.
  NGC_0545       -2.822     0.082        31.682     0.083         5083.     5184.
  NGC_0547       -2.773     0.086        31.653     0.063         5083.     5184.
  NGC_0665       -2.568     0.088        31.380     0.027         5074.     5164.
  NGC_0708       -2.618     0.101        31.476     0.029         4687.     4521.
  NGC_0741       -2.507     0.086        31.696     0.028         5144.     5172.
  NGC_0777       -2.509     0.077        31.652     0.036         4988.     5265.
  NGC_0809       -2.971     0.130        31.320     0.084         5148.     5302.
  NGC_0890       -2.766     0.081        30.430     0.022         3782.     3248.
  NGC_0910       -2.616     0.108        31.880     0.055         5597.     5993.
  NGC_1016       -2.572     0.083        32.089     0.047         6449.     6350.
  NGC_1060       -2.486     0.126        31.160     0.016         4788.     4668.
  NGC_1129       -2.510     0.101        31.580     0.043         5247.     5218.
  NGC_1167       -2.660     0.121        30.922     0.050         4808.     4514.
  NGC_1200       -2.672     0.084        30.940     0.026         3793.     3721.
  NGC_1201       -2.802     0.070        28.538     0.021         1500.     1754.
  NGC_1259       -2.654     0.172        31.668     0.046         5281.     5199.
  NGC_1272       -2.593     0.127        31.671     0.022         5281.     5194.
  NGC_1278       -2.601     0.129        31.580     0.044         5281.     5193.
  NGC_1453       -2.566     0.091        30.967     0.022         3946.     3879.
  NGC_1573       -2.615     0.104        31.374     0.027         4408.     4594.
  NGC_1600       -2.701     0.082        31.600     0.038         4502.     4570.
  NGC_1684       -2.813     0.085        31.151     0.025         4511.     4610.
  NGC_1700       -2.871     0.074        30.657     0.022         3953.     3808.
  NGC_2258       -2.634     0.107        31.221     0.034         3979.     4053.
  NGC_2274       -2.606     0.116        31.545     0.025         5207.     5233.
  NGC_2340       -2.499     0.096        31.947     0.067         6061.     6071.
  NGC_2513       -2.699     0.080        31.576     0.033         4724.     4802.
  NGC_2672       -2.668     0.078        31.450     0.040         4502.     4503.
  NGC_2693       -2.660     0.089        31.609     0.065         5248.     5271.
  NGC_2765       -2.941     0.078        30.744     0.041         4130.     4184.
  NGC_2962       -2.737     0.080        29.789     0.040         2354.     2490.
  NGC_3158       -2.532     0.083        32.261     0.069         7185.     7120.
  NGC_3392       -2.953     0.122        30.890     0.054         3456.     3751.
  NGC_3842       -2.533     0.089        32.132     0.073         6987.     6656.
  NGC_4036       -2.771     0.069        29.013     0.031         1442.     1693.
  NGC_4073       -2.566     0.089        32.060     0.121         6380.     6154.
  NGC_4386       -2.761     0.081        29.653     0.034         1661.     1940.
  NGC_4839       -2.570     0.085        32.267     0.065         7331.     7324.
  NGC_4874       -2.598     0.081        32.430     0.107         7331.     7336.
  NGC_4914       -2.997     0.078        31.090     0.023         4962.     4813.
  NGC_4993       -3.017     0.063        30.024     0.043         2924.     2888.
  NGC_5322       -2.764     0.068        29.695     0.013         2071.     2366.
  NGC_5353       -2.586     0.068        30.116     0.028         2645.     2827.
  NGC_5490       -2.642     0.085        31.597     0.036         5357.     5043.
  NGC_5557       -2.856     0.073        30.546     0.015         3295.     3363.
  NGC_5839       -2.836     0.094        29.475     0.027         1825.     1821.
  NGC_6482       -2.594     0.096        30.994     0.040         3871.     3908.
  NGC_6702       -2.880     0.099        31.121     0.029         4648.     4781.
  NGC_6964       -2.779     0.103        30.867     0.052         3698.     3811.
  NGC_7052       -2.621     0.099        31.333     0.031         4412.     4561.
  NGC_7242       -2.582     0.130        31.918     0.044         5610.     5703.
  NGC_7619       -2.594     0.081        30.727     0.023         3043.     3102.
