# Note: the tf_calib file is only used to identify calibrators and their
# respective values of m and M.  However, the value of M in the calib file
# depends on the estimated calibrator ("host") distance, which will be 
# replaced by the host distance determined from the distance network.
# Therefore duplicate values are not needed, and are in fact problematic.
# In this file duplicate calibrators are removed, and the columns mu_host,
# mu_error, anchor, source, and method are not used in the processing.
# (Some versions of the code might read them for verification purposes.)
#
# Also note that the internal logic of the main code will prevent NGC 4258
# to be used as a host; there is nothing fundamental about it, but the
# mechanism is different since mu_n4258 is not currently a parameter, and the
# relevant equation would need to have a different form.
#
# Host	PGC	m	M	M_error	mu_host	mu_error	anchor	source	method
N4258	39600	7.86	-21.77	0.27	29.4	0.025	N4258	R22	ceph_hst
N55	1014	8.04	-17.87	0.54	26.394	0.031	N4258	R22	ceph_hst
N247	2758	9.02	-18.91	0.47	27.607	0.037	N4258	R22	ceph_hst
N300	3238	8.25	-18.08	0.53	26.289	0.07	N4258	R22	ceph_hst
M33	5818	5.62	-18.8	0.48	24.606	0.046	N4258	R22	ceph_hst
N0691	6793	11.18	-21.38	0.31	32.83	0.109	N4258	R22	ceph_hst
N925	9332	10.17	-19.36	0.44	29.779	0.04	N4258	R22	ceph_hst
N1365	13179	8.7	-21.8	0.27	31.378	0.056	N4258	R22	ceph_hst
N1425	13602	10.63	-21.29	0.31	31.669	0.05	N4258	R22	ceph_hst
N1448	13727	9.96	-21.35	0.31	31.287	0.037	N4258	R22	ceph_hst
N1559	14814	10.19	-19.98	0.4	31.491	0.061	N4258	R22	ceph_hst
N2090	17819	10.34	-20.21	0.39	30.319	0.04	N4258	R22	ceph_hst
N2403	21396	8.26	-20.1	0.4	27.509	0.1	N4258	R22	ceph_hst
N2525	22721	10.86	-19.97	0.4	32.051	0.099	N4258	R22	ceph_hst
N2541	23110	11.76	-18.89	0.47	30.219	0.05	N4258	R22	ceph_hst
N2608	24111	11.72	-19.53	0.43	32.612	0.154	N4258	R22	ceph_hst
N2841	26512	8.59	-22.55	0.18	30.709	0.23	N4258	R22	ceph_hst
N3021	28357	11.56	-20.1	0.4	32.464	0.158	N4258	R22	ceph_hst
M81	28630	6.24	-22.1	0.24	27.769	0.08	N4258	R22	ceph_hst
N3109	29128	10.4	-16.17	0.65	25.533	0.022	N4258	R22	ceph_hst
N3198	30197	10.26	-20.42	0.37	30.669	0.08	N4258	R22	ceph_hst
N3254	30895	11.4	-21.45	0.3	32.331	0.076	N4258	R22	ceph_hst
N3319	31671	11.66	-19.0	0.47	30.589	0.09	N4258	R22	ceph_hst
N3368	32192	8.64	-21.62	0.29	30.079	0.06	N4258	R22	ceph_hst
N3370	32207	11.7	-20.67	0.36	32.12	0.051	N4258	R22	ceph_hst
N3621	34554	8.89	-20.23	0.39	29.079	0.06	N4258	R22	ceph_hst
N3627	34695	8.19	-21.44	0.3	29.979	0.08	N4258	R22	ceph_hst
N3972	37466	11.85	-19.77	0.42	31.635	0.089	N4258	R22	ceph_hst
# N4258	39600	7.86	-21.77	0.27	29.363	0.057	N4258	R22	ceph_hst
N4414	40692	9.27	-21.72	0.28	31.209	0.05	N4258	R22	ceph_hst
N4535	41812	9.64	-20.77	0.35	30.849	0.05	N4258	R22	ceph_hst
N4536	41823	9.82	-20.74	0.35	30.835	0.05	N4258	R22	ceph_hst
N4639	42741	11.2	-20.94	0.34	31.812	0.084	N4258	R22	ceph_hst
N4725	43451	8.76	-21.96	0.25	30.429	0.06	N4258	R22	ceph_hst
P43690	43690	12.77	-19.92	0.41	32.92	0.123	N4258	R22	ceph_hst
N5728	52521	10.52	-22.13	0.24	33.094	0.205	N4258	R22	ceph_hst
N5861	54097	10.91	-21.35	0.31	32.223	0.099	N4258	R22	ceph_hst
N7250	68535	12.47	-17.39	0.57	31.628	0.125	N4258	R22	ceph_hst
N7331	69327	8.31	-22.13	0.24	30.809	0.09	N4258	R22	ceph_hst
N7793	73049	9.19	-18.48	0.5	27.619	0.04	N4258	R22	ceph_hst
# N4258	39600	7.86	-21.77	0.27	29.4	0.03	N4258	A21	trgb_hst
